ID,SMILES
SMILES_0,Cc1c(C)c(C)c(Cn2ccnc2)c(C)c1C
SMILES_1,CC(c1cc2c3c(c1)CCN3C(=O)CC2)(n1ccn1)n1ccnc1
SMILES_2,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(OC)cc2)n1
SMILES_3,Nc1ccccc1-c1ccc(Cn2ccnc2)cn1
SMILES_4,c1ccc(-c2ccc(Cn3ccnc3)o2)cc1
SMILES_5,N#Cc1cccc(C(c2cc3c4c(c2)CCN4C(=O)CC3)n2ccnc2)c1
SMILES_6,CC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
SMILES_7,c1coc(-c2cc(Cn3ccnc3)cnc2-c2ccco2)c1
SMILES_8,Cc1ccccc1Cn1ccnc1
SMILES_9,N#Cc1ncccc1Cn1ccnc1
SMILES_10,COc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_11,O=Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_12,N#Cc1cccc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_13,c1ccc(C(CCn2ccnc2)(c2ccccc2)c2ccccc2)cc1
SMILES_14,c1ccc(-c2ccccc2)cc1
SMILES_15,c1ccc(-c2ccc(Cn3ccnc3)cc2)cc1
SMILES_16,c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cncc2c1
SMILES_17,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc([N](=O)[O-])cc2)n1
SMILES_18,c1coc(-c2cc(Cn3ccnc3)cnc2-c2ccco2)c1
SMILES_19,COc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_20,CC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
SMILES_21,CC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
SMILES_22,Cc1ccc(Cn2ccnc2)cc1
SMILES_23,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(C)cc2)n1
SMILES_24,Nc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_25,c1cn(Cc2ccc(-c3cncnc3)nc2)n1
SMILES_26,CC(c1cc2c3c(c1)CCN3C(=O)CC2)(n1ccnc1)n1ccnc1
SMILES_27,Fc1ccccc1-c1ccc(Cn2ccnc2)cn1
SMILES_28,O=Cc1ccc(-c2ccc(Cn3ccnc3)cn2)s1
SMILES_29,Cc1cccc(Cn2ccnc2)c1
SMILES_30,Cc1ccc(Cn2ccnc2)cc1
SMILES_31,CC(C)C(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
SMILES_32,O=C1CCc2cc(C(c3ccccc3S)n3ccnc3)cc3c2N1CC3
SMILES_33,Cc1c(C)c(C)c(Cn2cnc3ccccc32)c(C)c1C
SMILES_34,Cc1ccc(Cn2cnc3ccccc32)cc1
SMILES_35,c1ccc(-c2cccc(Cn3cnc4ccccc43)c2)cc1
SMILES_36,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(C)cc2)n1
SMILES_37,c1coc(-c2cc(Cn3ccnc3)cnc2-c2ccc(Cn3ccnc3)cc2)c1
SMILES_38,Cc1ccc(Cn2ccnc2)cc1
SMILES_39,c1coc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_40,C=CCC1(c2cccc(C)c2)C(=O)NC(=O)N(C)C1=O
SMILES_41,c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cccc2c1
SMILES_42,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(NC(C)=O)cc2)n1
SMILES_43,c1ccc(-c2ccc(Cn3ccnc3)cc2)cc1
SMILES_44,c1coc(-c2cc(Cn3ccnc3)cnc2-c2ccccc2)c1
SMILES_45,Cc1ccccc1-c1ccc(Cn2ccnc2)cn1
SMILES_46,CC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
SMILES_47,c1cncc(Cn2ccnc2)c1
SMILES_48,CCc1ncc(Cn2ccnc2)cc1-c1cc2ccccc2cn1
SMILES_49,c1ccc(-c2cccc(Cn3ccnc3)c2)cc1
SMILES_50,c1ccc2ccc(-c3ccnc4ccccc34)cc2c1
SMILES_51,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc([N](=O)[O-])cc2)n1
SMILES_52,c1ccc(-c2cc(Cn3ccnc3)cc(-c3ccccc3)c2)cc1
SMILES_53,c1cc(Cn2ccnc2)ccn1
SMILES_54,Cc1ccc(Cn2cnc3ccccc32)cc1
SMILES_55,C#Cc1ccc(C(c2cc3c4c(c2)CCN4C(=O)CC3)n2ccnc2)cc1
SMILES_56,c1cncc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_57,Oc1cc(C(c2ccccc2)(c2ccccc2)n2ccnc2)ccc1C
SMILES_58,c1cc(-c2cccc(Cn3cnc4ccccc43)c2)ccn1
SMILES_59,c1cc(-c2ccc(Cn3ccnc3)cn2)cs1
SMILES_60,O=C1CCc2cc(C(c3ccccc3S)n3ccnc3)cc3c2N1CC3
SMILES_61,c1ccc(-c2cc(Cn3ccnc3)cs2)cc1
SMILES_62,c1ccc(-c2ccc(Cn3ccnc3)o2)cc1
SMILES_63,FC(C)C(F)(F)C1(F)N=N1
SMILES_64,c1cn(CC23CC4CC(CC(C4)C2)C3)cn1
SMILES_65,CCC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
SMILES_66,c1ccc(-c2ncccn2)cc1
SMILES_67,COC1OC(C(C)(C)C)C(O)(C(C)C)C1O
