ID,SMILES
SMILES_0,c1ccc(C(Cn2ccnc2)(c2ccccc2)c2ccccc2)cc1
SMILES_1,Cc1ccc(Cn2ccnc2)cc1
SMILES_2,O=Cc1ccc(C(c2cc3c4c(c2)CCN4C(=O)CC3)n2ccnc2)cc1
SMILES_3,COc1ccccc1-c1ccc(Cn2ccnc2)cn1
SMILES_4,Cc1cccc(Cn2ccnc2)c1
SMILES_5,c1ccc(-c2cccc(Cn3cnc4ccccc43)c2)cc1
SMILES_6,O=C1CCc2cc(C(c3ccccc3)n3ccnc3)cc3c2N1CC3
SMILES_7,COc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_8,Fc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_9,COc1ccc(C(c2cc3c4c(c2)CCN4C(=O)CC3)n2ccnc2)cc1
SMILES_10,C=CCC1(c2cccc(-c3cccnc3)n2)C(=O)NC(=O)N(C)C1=O
SMILES_11,c1ccc(-c2ccccc2Cn2ccnc2)cc1
SMILES_12,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(N)cc2)n1
SMILES_13,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(C)cc2)n1
SMILES_14,c1cncc(Cn2ccnc2)c1
SMILES_15,c1cc(Cn2ccnc2)ccn1
SMILES_16,c1ccc(-c2cc(Cn3ccnc3)cs2)cc1
SMILES_17,C=CCC1(c2ccc(C(C)(C)C)cc2)C(=O)NC(=O)N(C)C1=O
SMILES_18,N#Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_19,C=CCC1(c2ccc(C3(C(F)(F)F)N=N3)cc2)C(=O)NC(=O)N(C)C1=O
SMILES_20,c1coc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_21,O=C1CCc2cc(C(c3ccccc3F)n3cccnc3)cc3c2N1CC3
SMILES_22,Cc1ccccc1Cn1cnc2ccccc21
SMILES_23,c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cncc2c1
SMILES_24,COC(=O)c1cn(-c2ccccc2)c(-c2ccc(NC(C)=O)cc2)n1
SMILES_25,COc1cccnc1C1CCN(C(=O)c2cccc(C)c2)C1
SMILES_26,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(OC)cc2)n1
SMILES_27,c1ccc(-c2cccc(Cn3ccnc3)c2)cc1
SMILES_28,C[n]1ccc(C(c2ccc3c4c(c2)CCN4C(=O)CC3)n2ccnc2)cc1
SMILES_29,c1c2ccccc2c2ccccc21
SMILES_30,FC(C)C(F)(F)C1(F)N=N1
SMILES_31,c1cn(Cc2ccc(-c3cncnc3)nc2)cn1
SMILES_32,c1ccc(-c2ccc(Cn3ccnc3)o2)cc1
SMILES_33,c1ccc2cc(-c3ccncc3)nc(-c3ccccc3)c2c1
SMILES_34,c1coc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_35,O=Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_36,Cc1ccccc1-c1ccc(Cn2ccnc2)cn1
SMILES_37,c1ccc(C(CCn2ccnc2)(c2ccccc2)c2ccccc2)cc1
SMILES_38,Cc1ccc(Cn2ccnc2)cn1
SMILES_39,c1ccc(-c2ccccc2Cn2ccnc2)cc1
SMILES_40,O=C1CCc2cc(C(C3CCC3)n3ccnc3)cc3c2N1CC3
SMILES_41,C=CCC1(c2ccc()cc2)C(=O)NC(=O)N(C)C1=O
SMILES_42,c1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_43,C=CCC1(c2ccc(C(C)(C)C)cc2)C(=O)NC(=O)N(C)C1=O
SMILES_44,Fc1cccc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_45,c1ccc(C(Cn2cnc3ccccc32)(c2ccccc2)c2ccccc2)cc1
SMILES_46,c1cn(Cc2ccc(-c3coc4ccccc43)nc2)cn1
SMILES_47,c1ccc(-c2cc(Cn3ccnc3)cnc2-c2ccccc2)cc1
SMILES_48,c1coc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_49,c1cncc(Cn2ccnc2)c1
SMILES_50,CCOC(=O)c1cn(-c2cc(C)cc(C)c2)c(-c2ccc(OC)cc2)n1
SMILES_51,c1coc(-c2cc(Cn3ccnc3)cnc2-c2ccco2)c1
SMILES_52,c1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_53,Cc1ccc(-c2ccc(Cn3ccnc3)cn2)s1
SMILES_54,N=C(N)NC(CCC(F)(F)C(F)(F)C(F)C(F)C(=O)NC1N=N1)n1ccnc1
SMILES_55,c1ccc(-c2ccc(Cn3cnc4ccccc43)cn2)cc1
SMILES_56,Cc1cccc(Cn2ccnc2)c1
SMILES_57,c1coc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_58,c1ccc2cc(-c3ccc(Cn4ccnc4)cn3)ncc2c1
SMILES_59,Fc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_60,C=CCC1(c2cccc3ccccc23)C(=O)NC(=O)N(C)C1=O
SMILES_61,Fc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_62,O=C1CCc2cc(C(c3ccco3)n3ccnc3)cc3c2N1CC3
SMILES_63,c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cncc2c1
SMILES_64,c1ccc(-c2cc(Cn3ccnc3)cnc2-c2ccco2)cc1
SMILES_65,c1ccc(-c2ccccc2OCCn2ccnc2)cc1
SMILES_66,Fc1cccc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_67,c1ccc2c(C(c3ccccc3)n3ccnc3)cccc2c1
SMILES_68,c1ccc2c(-c3ccncc3)cncc2c1
SMILES_69,Cc1cc(C)cc(Cn2cnc3ccccc32)c1
SMILES_70,FC1(C(F)(F)C(C))N=N1
SMILES_71,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(OC)cc2)n1
SMILES_72,c1ccc(-c2cc(Cn3ccnc3)cc(-c3ccccc3)c2)cc1
SMILES_73,c1coc(-c2cc(Cn3ccnc3)cnc2-c2ccco2)c1
SMILES_74,c1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_75,Cc1ccc(Cn2cnc3ccccc32)cc1
SMILES_76,c1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_77,Cc1ccccc1Cn1ccnc1
SMILES_78,c1ccc(-c2ccc(Cn3cnc4ccccc43)cc2)cc1
SMILES_79,c1ccc(C(Cn2ccnc2)(c2ccccc2)c2ccccc2)cc1
SMILES_80,O=C1CCc2cc(C(c3ccco3)n3ccnc3)cc3c2N1CC3
SMILES_81,c1ccc2cc(-c3ccc(-c4cc5ccccc5cc4Cn4cccnc4)cc3)ncc2c1
SMILES_82,COC(=O)c1cn(-c2ccccc2)c(-c2ccccc2)n1
SMILES_83,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccccc2)n1
SMILES_84,FC(F)(F)C1CN=N1
SMILES_85,C=CCC1(c2ccc(C(C)(C)C)cc2)C(=O)NC(=O)N(C)C1=O
SMILES_86,Cc1ccccc1Cn1cnc2ccccc21
SMILES_87,CCC1C(=O)N(C)C1=Cc1cn(-c2ccc(C)cc2)c(-c2ccc(C)cc2)n1
SMILES_88,C=CCC1(c2ccc(C(C)(C)C)cc2)C(=O)NC(=O)N(C)C1=O
SMILES_89,O=C1CCc2cc(C(c3ccco3)n3ccnc3)cc3c2N1CC3
SMILES_90,c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cccc2c1
SMILES_91,C=CCC1(c2cccc(C(C)(C)C)c2)C(=O)NC(=O)N(C)C1=O
SMILES_92,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc()cc2)n1
SMILES_93,Cc1ccc(Cn2cnc3ccccc32)cc1
SMILES_94,CC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
SMILES_95,C=CCC1(c2cccc()c2)C(=O)NC(=O)N(C)C1=O
SMILES_96,c1ccc2c(c1)ncn2CC12CC3CC(CC(C3)C1)C2
SMILES_97,c1ccc(-c2ccc(Cn3ccnc3)o2)cc1
SMILES_98,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(N)cc2)n1
SMILES_99,N#Cc1cccc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_100,c1cc(-c2ccccc2Cn2ccnc2)ccn1
SMILES_101,Fc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_102,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc([N](=O)[O-])cc2)n1
SMILES_103,c1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_104,Nc1ccccc1-c1cc2c(c1)CCN2C(=O)CC(N)C(=O)O
SMILES_105,C=CCC1(c2cccc()c2)C(=O)NC(=O)N(C)C1=O
SMILES_106,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccccc2)n1
SMILES_107,C=CCC1(c2ccc(C(C)(C)C)cc2)C(=O)NC(=O)N(C)C1=O
SMILES_108,c1ccc2c(c1)ncn2CC12CC3CC(CC(C3)C1)C2
SMILES_109,Cc1cc(C)c(Cn2cnc3ccccc32)c(C)c1
SMILES_110,c1ccc(-c2cc(Cn3ccnc3)cc(-c3ccccc3)c2)cc1
SMILES_111,c1ccc(-c2cc(Cn3ccnc3)cs2)cc1
SMILES_112,N=[N]=CC(F)(F)F
SMILES_113,Cc1ccc(Cn2ccnc2)cc1
SMILES_114,c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cncc2c1
SMILES_115,c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cncc2c1
SMILES_116,O=Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_117,c1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_118,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(N)cc2)n1
SMILES_119,N#Cc1cccc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_120,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(N)cc2)n1
SMILES_121,c1ccc(-c2ccc(Cn3ccnc3)s2)cc1
SMILES_122,N=[N]=CC(F)(F)F
SMILES_123,O=Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_124,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(C)cc2)n1
SMILES_125,Cc1ccc(-c2ccc(Cn3ccnc3)cn2)s1
SMILES_126,c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cncc2c1
SMILES_127,Cc1ccccc1Cn1ccnc1
SMILES_128,Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cn1
SMILES_129,COc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_130,N#Cc1cccc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_131,C=CCC1(c2cccc3ccccc23)C(=O)NC(=O)N(C)C1=O
SMILES_132,c1ccc2cc(-c3ccncc3Cn3ccnc3)ncc2c1
SMILES_133,Cc1ccccc1-c1ccc(Cn2ccnc2)cn1
SMILES_134,c1ccc(C(c2ccccc2)(c2ccccc2)n2cnc3ccccc32)cc1
SMILES_135,c1ccc2cc(-c3ccc(Cn4ccnc4)cn3)cnc2c1
SMILES_136,Fc1ccccc1-c1cc(Cn2ccnc2)cn1
SMILES_137,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc()cc2)n1
SMILES_138,c1ccc(-c2ccc(Cn3ccnc3)cc2)cc1
SMILES_139,Nc1cccc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_140,COC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(N)cc2)n1
SMILES_141,c1coc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_142,O=C1CCc2cc(C(c3ccccc3)n3ccnc3)cc3c2N1CC3
SMILES_143,c1ccc(-c2ccccc2C(c2ccccc2)n2ccnc2)cc1
SMILES_144,c1cncc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_145,Cc1cc(C)cc(Cn2cnc3ccccc32)c1
SMILES_146,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc()cc2)n1
SMILES_147,c1ccc(-c2ccccc2Cn2ccnc2)cc1
SMILES_148,N#Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_149,Cc1cn(-c2ccccc2)c(-c2ccccc2)n1
SMILES_150,c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cncc2c1
SMILES_151,c1ccc(-c2ccc(Cn3ccnc3)o2)cc1
SMILES_152,Fc1ccccc1Cn1ccnc1
SMILES_153,COc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1OC
SMILES_154,c1ccc(-c2ccc(Cn3ccnc3)cn2)cn1
SMILES_155,C=CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O
SMILES_156,CC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
SMILES_157,Fc1cccc(-c2ccc(Cn3ccnc3)cn2)c1
SMILES_158,c1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_159,c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cncc2c1
SMILES_160,c1ccc2c(c1)ncn2CC12CC3CC(CC(C3)C1)C2
SMILES_161,C=CCC1(c2ccc(C(C)(C)C)cc2)C(=O)NC(=O)N(C)C1=O
SMILES_162,COc1ccc(C(c2cc3c4c(c2)CCN4C(=O)CC3)n2ccnc2)cc1
SMILES_163,c1ccc(-c2cc(Cn3ccnc3)cs2)cc1
SMILES_164,c1cccc(CCn2ccnc2)c1
SMILES_165,c1cn(Cc2ccccc2Cn2ccnc2)cn1
SMILES_166,O=Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
SMILES_167,c1ccc2cc(-c3ccc(Cn4ccnc4)cn3)ncc2c1
SMILES_168,c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cncc2c1
SMILES_169,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc()cc2)n1
SMILES_170,c1ccc(-c2ccccc2Cn2ccnc2)cc1
SMILES_171,c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cncc2c1
SMILES_172,Cc1ccccc1C(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
SMILES_173,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(C)cc2)n1
SMILES_174,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(NC(C)=O)cc2)n1
SMILES_175,c1cc(Cn2ccnc2)ccn1
SMILES_176,c1ccc2cc(-c3ccc(Cn4ccnc4)cn3)ncc2c1
SMILES_177,N=[N]=NC(F)(F)C(F)C
SMILES_178,NC1(c2ccc(-c3ccc(C(C(F)(F)F)C(F)(F)C(F)C3CC3)cn2)C(=O)O)CC1
SMILES_179,Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cn1
SMILES_180,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(NC(C)=O)cc2)n1
SMILES_181,c1cn(Cc2ccc(-c3cncnc3)nc2)cn1
SMILES_182,c1ccc(-c2ccccc2Cn2ccnc2)cc1
SMILES_183,c1ccc(-c2ccc(Cn3cnc4ccccc43)cc2)cc1
SMILES_184,c1ccc2cc(-c3ccc(Cn4ccnc4)cn3)ncc2c1
SMILES_185,c1ccc(-c2ccc(Cn3ccnc3)cc2)cc1
SMILES_186,c1cn(Cc2ccc3c4c(c2)CCN4C(=O)CC3)cn1
SMILES_187,c1ccc(C(CCn2ccnc2)(c2ccccc2)c2ccccc2)cc1
SMILES_188,C=CCC1(c2ccc(C(C)(C)C)cc2)C(=O)NC(=O)N(C)C1=O
