SMILES_0,SMILES_1
Cc1cn(-c2ccccc2)c(-c2ccccc2)n1,Cc1cn(-c2ccc(C3CC3)cc2)c(-c2ccccc2)n1
c1ccc(-c2ccc(Cn3ccnc3)cc2)cc1,c1ccc(Cn2ccnc2)cc1
c1ccc(-c2cccc(Cn3ccnc3)c2)cc1,c1ccc(-c2cc(Cn3ccnc3)cc(-c3ccccc3)c2)cc1
O=C1CCc2cc(C(c3ccccc3)n3ccnc3)cc3c2N1CC3,Nc1cccc(C(c2cc3c4c(c2)CCN4C(=O)CC3)n2ccnc2)c1
CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(N)cc2)n1,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(C)cc2)n1
Cc1cc(C)cc(Cn2cnc3ccccc32)c1,Cc1cccc(Cn2cnc3ccccc32)c1
Cc1cc(C)cc(Cn2cnc3ccccc32)c1,Cc1cccc(Cn2cnc3ccccc32)c1
CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(NC(C)=O)cc2)n1,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(C)cc2)n1
c1cncc(Cn2ccnc2)c1,c1cn(Cc2ccccc2)cn1
Cc1cc(C)cc(Cn2cnc3ccccc32)c1,Cc1cccc(Cn2cnc3ccccc32)c1
c1ccc(-c2ccc(Cn3cnc4ccccc43)cc2)cc1,Fc1ccc(-c2ccc(Cn3cnc4ccccc43)cc2)cc1
O=C1CCc2cc(C(C3CC3)n3ccnc3)cc3c2N1CC3,O=C1CCc2cc(C(C3CCC3)n3ccnc3)cc3c2N1CC3
C=CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,C=CCC1(c2ccc(C)cc2)C(=O)NC(=O)N(C)C1=O
c1ccc(C(Cn2cnc3ccccc32)(c2ccccc2)c2ccccc2)cc1,c1ccc(C(CCn2cnc3ccccc32)(c2ccccc2)c2ccccc2)cc1
