SMILES_0,SMILES_1
CC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1,CC(C)C(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
Cc1cc(C)cc(Cn2ccnc2)c1,Cc1cccc(Cn2ccnc2)c1
c1ccc(-c2ccc(Cn3cnc4ccccc43)cc2)cc1,c1ccc(-c2cc(Cn3cnc4ccccc43)cc(-c3ccccc3)c2)cc1
FC(C)C(F)(F)C1(F)N=N1,FC1(C(F)(F)C(C))N=N1
c1ccc(-c2ccc(Cn3ccnc3)cn2)cc1,c1cc(-c2ccc(Cn3ccnc3)cn2)ccn1
CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(OC)cc2)n1,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccccc2)n1
c1ccc(C(Cn2ccnc2)(c2ccccc2)c2ccccc2)cc1,c1ccc(C(Cn2ccnc2)(c2ccccc2)c2cncnc2)cc1
Cc1cc(C)c(Cn2ccnc2)c(C)c1,Cc1cc(C)cc(Cn2ccnc2)c1
O=C1CCc2cc(C(c3ccc(F)cc3)n3ccnc3)cc3c2N1CC3,Oc1ccc(C(c2cc3c4c(c2)CCN4C(=O)CC3)n2ccnc2)cc1
CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(N)cc2)n1,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccccc2)n1
Cc1ccc(Cn2ccnc2)cc1,c1cc(Cn2ccnc2)ccn1
c1cn(Cc2ccc(-c3ccoc3)nc2)cn1,c1cc(-c2ccc(Cn3ccnc3)cn2)ccn1
CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(C)cc2)n1,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccccc2)n1
c1ccc(-c2ccc(Cn3ccnc3)cn2)cc1,c1cc(-c2ccc(Cn3ccnc3)cn2)ccn1
C=CCC1(c2ccc(C)cc2)C(=O)NC(=O)N(C)C1=O,C=CCC1(c2ccc(F)cc2)C(=O)NC(=O)N(C)C1=O
c1ccc(-c2ccccc2Cn2ccnc2)cc1,c1cc(-c2ccccc2Cn2ccnc2)ccn1
c1ccc(-c2ccc(Cn3ccnc3)o2)cc1,c1ccc(-c2cc(Cn3ccnc3)co2)cc1
