SMILES_0,SMILES_1
CCCc1ccc(C(c2cc3c4c(c2)CCN4C(=O)CC3)n2ccnc2)cc1,O=C1CCc2cc(C(c3ccc(C)cc3)n3ccnc3)cc3c2N1CC3
CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccccc2)n1,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(C)cc2)n1
C=CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,C=CCC1(c2ccc(C)cc2)C(=O)NC(=O)N(C)C1=O
CC(C)C(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1,CC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
Nc1cccc(-c2ccc(Cn3ccnc3)cn2)c1,Fc1cccc(-c2ccc(Cn3ccnc3)cn2)c1
O=C1CCc2cc(C(c3ccco3)n3ccnc3)cc3c2N1CC3,O=C1CCc2cc(C(c3ccccc3)n3ccnc3)cc3c2N1CC3
c1ccc(-c2cccc(Cn3ccnc3)c2)cc1,c1cc(-c2cccc(Cn3ccnc3)c2)ccn1
Cc1cccc(Cn2cnc3ccccc32)c1,Cc1cc(C)cc(Cn2cnc3ccccc32)c1
CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(C)cc2)n1,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccccc2)n1
c1coc(-c2ccc(Cn3ccnc3)cn2)c1,c1coc(-c2cc(Cn3ccnc3)cnc2-c2ccco2)c1
Fc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1,c1cn(Cc2ccc(-c3ccc(Cn4ccnc4)cn3)cc2)cn1
CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccccc2)n1,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(C)cc2)n1
Nc1cccc(-c2ccc(Cn3ccnc3)cn2)c1,Fc1cccc(-c2ccc(Cn3ccnc3)cn2)c1
O=C1CCc2cc(C(c3ccccc3S)n3ccnc3)cc3c2N1CC3,O=C1CCc2cc(C(c3ccccc3F)n3ccnc3)cc3c2N1CC3
c1ccc2cc(-c3ccncc3Cn3ccnc3)ncc2c1,c1ccc2cc(-c3ccncc3Cn3ccnc3)ccc2c1
CC(O)N(C)c1ccc(Cn2ccnc2)cc1,Cc1ccc(Cn2ccnc2)cc1
Fc1cccc2c(-c3ccncc3)ncnc12,c1ccc2c(-c3ccncc3)cncc2c1
O=C1CCc2cc(C(C3CCC3)n3ccnc3)cc3c2N1CC3,O=C1CCc2cc(C(C3CC3)n3ccnc3)cc3c2N1CC3
c1ccc2cc(-c3ccncc3Cn3ccnc3)ncc2c1,Cc1ncc(Cn2ccnc2)cc1-c1cc2ccccc2cn1
c1ccc(-c2cc(Cn3ccnc3)cc(-c3ccccc3)c2)cc1,c1ccc(-c2cccc(Cn3ccnc3)c2)cc1
Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1N,Fc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1C
c1ccc(C(c2ccccc2)(c2ccccc2)n2cnc3ccccc32)cc1,c1ccc(C(Cc2ccccc2)(c2ccccc2)n2cnc3ccccc32)cc1
CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(OC)cc2)n1,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(C)cc2)n1
N#Cc1ccc(C(c2cc3c4c(c2)CCN4C(=O)CC3)n2ccnc2)cc1,N#Cc1cccc(C(c2cc3c4c(c2)CCN4C(=O)CC3)n2ccnc2)c1
Fc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1F,Oc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1F
CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(C)cc2)n1,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccccc2)n1
c1ccc(-c2cc(Cn3ccnc3)cnc2-c2ccccc2)cc1,COc1ccc(-c2cc(Cn3ccnc3)cnc2-c2ccccc2)cc1
O=C(CC12CC3CC(CC(C3)C1)C2)C(=O)NC1(c2ccccc2)CC1,c1ccc2c(c1)ncn2CC12CC3CC(CC(C3)C1)C2
Cc1ccc(Cn2cnc3ccccc32)cc1,Cc1cc(C)cc(Cn2cnc3ccccc32)c1
CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(NC(C)=O)cc2)n1,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccccc2)n1
CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(OC)cc2)n1,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(C)cc2)n1
Cc1ccc(-c2cc(Cn3ccnc3)cs2)cc1,Fc1ccc(-c2cc(Cn3ccnc3)cs2)cc1
C=CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,C=CCC1(c2ccc(C)cc2)C(=O)NC(=O)N(C)C1=O
CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(C)cc2)n1,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccccc2)n1
c1ccc2cc(-c3ccncc3Cn3ccnc3)ncc2c1,Cc1ncc(Cn2ccnc2)cc1-c1cc2ccccc2cn1
