SMILES_0,SMILES_1
c1cncc(Cn2ccnc2)c1,c1ccc(Cn2ccnc2)cc1
CCC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1,CCCC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
NC1=NC(C)(CCCF)C2(CCN(C(C3CC3)C3CN=C(O)C3)CC2)c2ccccc2NC1=O,CCC1(c2cccc(C3(C(F)(F)F)N=N3)c2)CC(C)NC(=O)N(C)C1=O
c1coc(-c2cc(Cn3ccnc3)cnc2-c2ccco2)c1,c1coc(-c2ccc(Cn3ccnc3)cn2)c1
c1ccc(-c2cccc(Cn3ccnc3)c2)cc1,c1ccc(-c2cc(Cn3ccnc3)cc(-c3ccccc3)c2)cc1
c1ccc(-c2ccc(Cn3cnc4ccccc43)cc2)cc1,c1cc(-c2ccc(Cn3cnc4ccccc43)cc2)ccn1
C=CCC1(c2ccc(C)cc2)C(=O)NC(=O)N(C)C1=O,C=CCC1(c2ccc(C(C)(C)c3ccc(C)cc3)cc2)C(=O)NC(=O)N(C)C1=O
c1ccc(-c2ccc(Cn3ccnc3)cc2)cc1,c1ccc(-c2cc(Cn3ccnc3)cc(-c3ccccc3)c2)cc1
CC(c1cc2c3c(c1)CCN3C(=O)CC2)(n1ccnc1)n1ccnc1,CC(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
c1ccc(-c2ccccc2Cn2ccnc2)cc1,Fc1ccc(-c2ccccc2Cn2ccnc2)cc1
c1ccc2cc(-c3ccc(Cn4ccnc4)cn3)ccc2c1,c1cc2cc(-c3ccc(Cn4ccnc4)cn3)ccc2cn1
FC(C)C(F)(F)C1(F)N=N1,FC1(C(F)(F)C(C))N=N1
c1ccc(-c2cccc(Cn3ccnc3)c2)cc1,c1ccc(-c2cc(Cn3ccnc3)cc(-c3ccccc3)c2)cc1
Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1N,Nc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
c1ccc(-c2ccc(Cn3cnc4ccccc43)cc2)cc1,c1ccc(-c2cc(Cn3cnc4ccccc43)cc(-c3ccccc3)c2)cc1
Cc1ccc(C(c2ccccc2)(c2ccccc2)n2cnc3ccccc32)cc1,c1ccc(C(c2ccccc2)(c2ccccc2)n2cnc3ccccc32)cc1
CCOC(=O)c1cn(-c2ccccc2)c(-c2ccccc2)n1,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(C)cc2)n1
c1ccc(-c2ccc(Cn3ccnc3)o2)cc1,c1ccc(-c2ccc(Cn3ccnc3)cc2)cc1
c1cncc(Cn2ccnc2)c1,c1cncc(-c2ccc(Cn3ccnc3)cn2)c1
