SMILES_0,SMILES_1
Cc1cc(C)c(Cn2cnc3ccccc32)c(C)c1,Cc1cc(C)c(C)c(Cn2cnc3ccccc32)c1
c1cc(Cn2ccnc2)ccn1,c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1
FC(C)C(F)(F)C1(F)N=N1,FC1(C(F)C(F)(F)C(F)C)N=N1
FC(C)C(F)(F)C1(F)N=N1,FC1(C(F)(F)C(C))N=N1
c1ccc(-c2cccc(Cn3cnc4ccccc43)c2)cc1,c1ccc(-c2ccc(Cn3cnc4ccccc43)cc2)cc1
COc1cccc2ccc(Cn3ccnc3)nc12,c1ccc2ccc(Cn3ccnc3)nc2c1
CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(OC)cc2)n1,CCCCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(OC)cc2)n1
c1ccc2cc(-c3ccc(Cn4ccnc4)cn3)ncc2c1,c1ccc2cc(-c3ccc(Cn4ccnc4)cn3)ccc2c1
c1ccc2nc(-c3ccc(Cn4ccnc4)cn3)ccc2c1,c1ccc2cc(-c3ccc(Cn4ccnc4)cn3)ncc2c1
C=CCC1(c2ccc(C(C)(C)C)cc2)C(=O)NC(=O)N(C)C1=O,C=CCC1(c2ccc(C(F)(F)F)cc2)C(=O)NC(=O)N(C)C1=O
Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1,CCc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1
N#Cc1ccc(-c2ccc(Cn3ccnc3)cn2)cc1,N#Cc1cccc(-c2ccc(Cn3ccnc3)cn2)c1
C=CCC1(c2cccc(C)c2)C(=O)NC(=O)N(C)C1=O,C=CCC1(c2cccc(F)c2)C(=O)NC(=O)N(C)C1=O
c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cccc2c1,c1ccc2c(-c3ccc(Cn4ccnc4)cn3)cncc2c1
c1cn(-c2ccc(Cn3ccnc3)cn2)cn1,Cc1cn(-c2ccc(Cn3ccnc3)cn2)cn1
O=C1CCc2cc(C(c3ccccc3)n3ccnc3)cc3c2N1CC3,O=C1CCc2cc(C(c3cccnc3)n3ccnc3)cc3c2N1CC3
O=C1CCc2cc(C(c3ccccc3S)n3ccnc3)cc3c2N1CC3,Nc1ccccc1C(c1cc2c3c(c1)CCN3C(=O)CC2)n1ccnc1
CCOC(=O)c1cn(-c2ccccc2)c(-c2ccccc2)n1,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(C)cc2)n1
CCOC(=O)c1cn(-c2ccccc2)c(-c2ccc(N)cc2)n1,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccccc2)n1
c1ccc(-c2ccccc2Cn2ccnc2)cc1,Cc1ccc(-c2ccccc2Cn2ccnc2)cc1
Cc1ccc(-c2cccc(Cn3ccnc3)c2)cc1N,Nc1ccc(-c2cccc(Cn3ccnc3)c2)cc1
CC(c1cc2c3c(c1)CCN3C(=O)CC2)(n1ccnc1)n1ccnc1,CCC(c1cc2c3c(c1)CCN3C(=O)CC2)(n1ccnc1)n1ccnc1
O=Cc1ccc(-c2ccc(Cn3ccnc3)cn2)s1,N#Cc1ccc(-c2ccc(Cn3ccnc3)cn2)s1
O=C1CCc2cc(C(c3ccccc3F)n3ccnc3)cc3c2N1CC3,O=C1CCc2cc(C(c3cccc(F)c3F)n3ccnc3)cc3c2N1CC3
CCOC(=O)c1cn(Cc2ccccc2F)c(-c2ccccc2)n1,CCOC(=O)c1cn(-c2ccccc2)c(-c2ccccc2)n1
O=C1CCc2cc(C(c3ccco3)n3ccnc3)cc3c2N1CC3,O=C1CCc2cc(C(c3ccccc3)n3ccnc3)cc3c2N1CC3
CC(O)C(N)C(=O)NC1(c2ccccc2)CC1,c1cn(CC2(c3ccccc3)CC2)cn1
c1coc(-c2ccc(Cn3ccnc3)cn2)c1,c1coc(-c2cc(Cn3ccnc3)cnc2-c2ccco2)c1
c1ccc2cc(-c3ccc(Cn4ccnc4)cn3)cnc2c1,c1ccc2cc(-c3ccc(Cn4ccnc4)cn3)ccc2c1
Cc1cn(C2OC(C)C(O)C2C)c(=O)c(C)c1,COC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(C)cc2)n1
COc1ccc(C(c2cc3c4c(c2)CCN4C(=O)CC3)n2ccnc2)cc1,O=C1CCc2cc(C(c3ccc(C)cc3)n3ccnc3)cc3c2N1CC3
CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(N)cc2)n1,CCOC(=O)c1cn(-c2ccc(C)cc2C)c(-c2ccc(C)cc2)n1
